# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2026-03-03T09:01:09.417696
# Sample Interval (s),0.1

# Boards

# Devices

timestamp,elapsed_ms
2026-03-03T09:01:09.417,0.0
2026-03-03T09:01:09.523,105.9
2026-03-03T09:01:09.643,226.0
2026-03-03T09:01:09.750,332.4
2026-03-03T09:01:09.858,441.3
2026-03-03T09:01:09.960,542.6
2026-03-03T09:01:10.069,651.8
2026-03-03T09:01:10.177,760.1
2026-03-03T09:01:10.293,876.2
2026-03-03T09:01:10.409,991.4
2026-03-03T09:01:10.507,1090.1
2026-03-03T09:01:10.626,1208.7
2026-03-03T09:01:10.723,1306.2
2026-03-03T09:01:10.832,1415.1
2026-03-03T09:01:10.942,1525.1
2026-03-03T09:01:11.060,1642.4
2026-03-03T09:01:11.175,1757.4
2026-03-03T09:01:11.272,1854.4
2026-03-03T09:01:11.381,1963.9
2026-03-03T09:01:11.491,2073.9
2026-03-03T09:01:11.609,2192.2
2026-03-03T09:01:11.711,2293.9
2026-03-03T09:01:11.824,2406.9
2026-03-03T09:01:11.941,2523.8
2026-03-03T09:01:12.042,2625.2
2026-03-03T09:01:12.159,2742.3
2026-03-03T09:01:12.259,2841.8
2026-03-03T09:01:12.375,2957.3
2026-03-03T09:01:12.475,3058.0
2026-03-03T09:01:12.591,3173.6
2026-03-03T09:01:12.711,3294.1
2026-03-03T09:01:12.825,3407.5
2026-03-03T09:01:12.939,3521.9
2026-03-03T09:01:13.040,3622.9
2026-03-03T09:01:13.151,3734.0
2026-03-03T09:01:13.256,3838.7
2026-03-03T09:01:13.376,3958.8
2026-03-03T09:01:13.476,4058.9
2026-03-03T09:01:13.591,4173.7
2026-03-03T09:01:13.709,4291.7
2026-03-03T09:01:13.824,4407.2
2026-03-03T09:01:13.941,4523.8
2026-03-03T09:01:14.042,4624.6
2026-03-03T09:01:14.158,4740.7
2026-03-03T09:01:14.256,4838.7
2026-03-03T09:01:14.374,4957.1
2026-03-03T09:01:14.471,5054.0

# End Time,2026-03-03T09:01:14.471721
# Duration (s),5.05
