# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2026-03-03T09:00:30.715158
# Sample Interval (s),0.1

# Boards

# Devices

timestamp,elapsed_ms
2026-03-03T09:00:30.717,2.0
2026-03-03T09:00:30.827,111.9
2026-03-03T09:00:30.943,228.1
2026-03-03T09:00:31.055,340.8
2026-03-03T09:00:31.161,446.2
2026-03-03T09:00:31.276,561.1
2026-03-03T09:00:31.386,671.1
2026-03-03T09:00:31.494,779.5
2026-03-03T09:00:31.614,899.0
2026-03-03T09:00:31.727,1012.8
2026-03-03T09:00:31.843,1128.6
2026-03-03T09:00:31.961,1246.2
2026-03-03T09:00:32.076,1361.8
2026-03-03T09:00:32.180,1465.0
2026-03-03T09:00:32.294,1579.6
2026-03-03T09:00:32.407,1692.2
2026-03-03T09:00:32.510,1795.7
2026-03-03T09:00:32.627,1911.9
2026-03-03T09:00:32.730,2014.9
2026-03-03T09:00:32.836,2121.0
2026-03-03T09:00:32.944,2228.9
2026-03-03T09:00:33.051,2336.4
2026-03-03T09:00:33.162,2447.2
2026-03-03T09:00:33.279,2564.0
2026-03-03T09:00:33.396,2681.0
2026-03-03T09:00:33.511,2796.1
2026-03-03T09:00:33.630,2915.0
2026-03-03T09:00:33.745,3030.0
2026-03-03T09:00:33.862,3147.2
2026-03-03T09:00:33.960,3245.6
2026-03-03T09:00:34.077,3362.6
2026-03-03T09:00:34.179,3464.0
2026-03-03T09:00:34.294,3579.2
2026-03-03T09:00:34.404,3689.7
2026-03-03T09:00:34.512,3796.9
2026-03-03T09:00:34.628,3913.4
2026-03-03T09:00:34.746,4031.7
2026-03-03T09:00:34.861,4146.5
2026-03-03T09:00:34.958,4243.2
2026-03-03T09:00:35.078,4362.8
2026-03-03T09:00:35.193,4478.1
2026-03-03T09:00:35.311,4596.0
2026-03-03T09:00:35.412,4697.8
2026-03-03T09:00:35.527,4812.6
2026-03-03T09:00:35.645,4930.4
2026-03-03T09:00:35.729,5014.4

# End Time,2026-03-03T09:00:35.729518
# Duration (s),5.01
